,home_victory,home_runs,away_runs,last_week_home_win_rate_ratio,last_year_home_st_ERA,last_3_week_home_st_ERA,last_week_home_re_ERA,last_week_home_runs_ave,last_year_away_st_ERA,last_3_week_away_st_ERA,last_week_away_re_ERA,last_week_away_runs_ave,last_week_home_team_OPS,last_week_away_team_OPS,last_week_home_OPS_ratio,last_year_home_win_rate,last_year_away_win_rate,last_year_home_st_ERA_ratio,last_3_week_home_st_ERA_ratio,last_year_home_st_APP,last_year_home_st_IP,last_year_away_st_APP,last_year_away_st_IP,home_st_pitching_interval,away_st_pitching_interval,this_year_home_st_IP_div_match,this_year_away_st_IP_div_match
1097,1,7,3,0.7826079584140216,2.94,4.11864406779661,3.7384615384615385,6.4,3.67,3.67,5.76,2.1666666666666665,0.8345046627922692,0.6638642583470169,0.5569420528008235,0.621,0.40700000000000003,0.4447806521087286,0.5288011590134774,22.0,156.0,17.0,61.333333333333336,7.0,21.0,1.1111111111111112,0.0
1098,1,7,5,0.5555554814815803,3.29,1.7999999999999998,2.25,5.166666666666667,3.01,2.4,3.375,3.6666666666666665,0.7910621664286251,0.712865075861428,0.5259976308588323,0.457,0.606,0.5222222151675507,0.4285714625850178,15.0,27.333333333333332,17.0,89.66666666666667,7.0,7.0,0.05263157894736842,1.0406504065040652
1099,0,0,2,0.2173920415859785,5.34,4.595744680851063,5.0625,3.1666666666666665,4.3,2.25,3.292682926829268,7.0,0.6500973335144189,0.8365079365079364,0.4373032617492624,0.514,0.44299999999999995,0.5539418975224278,0.6713286212746219,22.0,116.0,26.0,155.0,7.0,7.0,0.6,1.361904761904762
1100,0,4,5,0.6249998125002812,4.0,2.6470588235294117,0.5510204081632654,4.333333333333333,4.0,4.0,3.2926829268292686,3.3333333333333335,0.7095995487873661,0.6316203527471134,0.5290702501323747,0.451,0.457,0.5,0.39823011911660133,0.0,0.0,0.0,0.0,7.0,21.0,0.4146341463414634,0.0
1101,0,0,4,0.5,2.93,3.0,6.464788732394367,3.1666666666666665,2.72,2.076923076923077,5.023255813953488,2.5,0.5668539826955669,0.5093121557576534,0.5267346392354524,0.493,0.507,0.5185840642180304,0.5909090550964329,22.0,135.0,26.0,162.0,7.0,7.0,0.8373983739837398,0.9083333333333332
1102,1,7,4,0.5,3.08,3.4615384615384617,5.837837837837839,2.0,4.34,9.0,2.6999999999999997,5.833333333333333,0.639269406392694,0.7649098474341193,0.4552619650592981,0.414,0.631,0.4150943625082581,0.277777813443067,21.0,131.0,13.0,76.66666666666667,7.0,10.0,0.865079365079365,0.2558139534883721
1103,1,4,1,0.7826079584140216,3.88,3.857142857142857,3.3749999999999996,5.6,4.0,3.681818181818182,4.909090909090908,2.3333333333333335,0.7589743589743589,0.6722612145254807,0.5302931068981315,0.621,0.40700000000000003,0.4923857887345714,0.5116279038919944,23.0,132.0,0.0,0.0,7.0,7.0,0.95,0.7166666666666667
1104,1,7,6,0.6249998125002812,3.04,1.7999999999999998,2.25,5.0,4.05,4.909090909090908,2.805194805194805,4.0,0.7682159283466473,0.7117346938775511,0.5190821347756222,0.457,0.606,0.4287729396973372,0.26829275199945063,4.0,23.333333333333332,14.0,13.0,7.0,7.0,1.0,0.5396825396825398
1105,1,3,2,0.172414470866612,2.84,4.7368421052631575,3.375,2.1666666666666665,2.49,1.7142857142857142,2.6341463414634143,7.0,0.5373504273504273,0.8186363636363636,0.39627998659144886,0.514,0.44299999999999995,0.5328330083178204,0.7342656616379184,15.0,88.66666666666667,19.0,130.0,7.0,7.0,0.983739837398374,0.8888888888888888
1106,1,9,4,0.33333366666599995,4.0,9.642857142857142,5.704225352112677,2.8333333333333335,3.51,2.571428571428571,4.0212765957446805,3.0,0.559293580445877,0.6655185519502114,0.4566362184474253,0.493,0.414,0.5326231604199306,0.7894736368113342,0.0,0.0,20.0,125.66666666666667,7.0,6.0,1.150793650793651,1.4651162790697674
